"RuleName","Severity","Kind","TablesUsed","TableCount"
"Illegal Function Codes for ICS traffic (Microsoft Defender for IoT)","Medium","Scheduled","Operation, SecurityAlert","2"
"Brute Force Attack against GitHub Account","Medium","Scheduled","Anomalies, SigninLogs","2"
"Brute force attack against a Cloud PC","Medium","Scheduled","Anomalies, SigninLogs","2"
"Possible Forest Blizzard attempted credential harvesting - Sept 2020","Low","Scheduled","OfficeActivity, Operation","2"
"Accessed files shared by temporary external user","Low","Scheduled","OfficeActivity, Operation","2"
"Preview - TI map File Hash entity to Cloud App Events","Medium","Scheduled","CloudAppEvents, Event","2"
"Cross-tenant Access Settings Organization Inbound Direct Settings Changed","Medium","Scheduled","AuditLogs, Update","2"
"Local Admin Group Changes","High","Scheduled","DeviceEvents, IdentityInfo","2"
"Creation of Glue policy and then privilege escalation","Medium","Scheduled","Event, Update","2"
"SharePointFileOperation via previously unseen IPs","Medium","Scheduled","OfficeActivity, Operation","2"
"AD FS Remote HTTP Network Connection","Medium","Scheduled","Event, Operation","2"
"SAP - Multiple Subnets by User","Medium","Scheduled","Update, Watchlist","2"
"Rare application consent","Medium","Scheduled","AuditLogs, Operation","2"
"New EXE deployed via Default Domain or Default Domain Controller Policies","High","Scheduled","SecurityEvent, Update","2"
"Creation of CRUD Lambda policy and then privilege escalation","Medium","Scheduled","Event, Update","2"
"Unusual Volume of file deletion by users","High","Scheduled","CloudAppEvents, SigninLogs","2"
"SharePointFileOperation via devices with previously unseen user agents","Medium","Scheduled","OfficeActivity, Operation","2"
"SAP - (Preview) Sensitive data saved into a USB drive","High","Scheduled","DeviceEvents, Watchlist","2"
"Threat Essentials - Mail redirect via ExO transport rule","Medium","Scheduled","OfficeActivity, Operation","2"
"SAP - Dynamic Deterministic Audit Log Monitor","High","Scheduled","Event, Watchlist","2"
"Creation of new CRUD IAM policy and then privilege escalation.","Medium","Scheduled","Event, Update","2"
"External user added and removed in short timeframe","Low","Scheduled","OfficeActivity, Operation","2"
"SAP - Execution of an Obsolete or an Insecure Function Module","Medium","Scheduled","Event, Watchlist","2"
"Power Automate - Unusual bulk deletion of flow resources","Medium","Scheduled","Anomalies, PowerAutomateActivity","2"
"Anomalous sign-in location by user account and authenticating application","Medium","Scheduled","Anomalies, SigninLogs","2"
"New executable via Office FileUploaded Operation","Low","Scheduled","OfficeActivity, Operation","2"
"Power Apps - Multiple users access a malicious link after launching new app","High","Scheduled","SecurityAlert, UrlClickEvents","2"
"Office365 Sharepoint File transfer Folders above threshold","Medium","Scheduled","OfficeActivity, Operation","2"
"SAP - System Configuration Change","High","Scheduled","Update, Watchlist","2"
"SAP - High volume of potentially sensitive data exported","High","Scheduled","Update, Watchlist","2"
"SAP - Assignment of a sensitive role","Medium","Scheduled","Update, Watchlist","2"
"Office Policy Tampering","Medium","Scheduled","OfficeActivity, Operation","2"
"TI map IP Entity to Auditlogs - Self-service password reset","Medium","Scheduled","AuditLogs, Operation","2"
"Mail redirect via ExO transport rule","Medium","Scheduled","OfficeActivity, Operation","2"
"Multiple Teams deleted by a single user","Low","Scheduled","OfficeActivity, Operation","2"
"ADFS Database Named Pipe Connection","Medium","Scheduled","Event, Operation","2"
"TI map Email entity to OfficeActivity","Medium","Scheduled","OfficeActivity, Operation","2"
"Cross-tenant Access Settings Organization Inbound Collaboration Settings Changed","Medium","Scheduled","AuditLogs, Update","2"
"TI map Domain entity to EmailUrlInfo","Medium","Scheduled","EmailEvents, EmailUrlInfo","2"
"Rare Process as a Service","Medium","Scheduled","DeviceNetworkEvents, DeviceProcessEvents","2"
"New access credential added to Application or Service Principal","Medium","Scheduled","AuditLogs, Update","2"
"Office365 Sharepoint File transfer above threshold","Medium","Scheduled","OfficeActivity, Operation","2"
"Anomalous sign-in location by user account and authenticating application","Medium","Scheduled","Anomalies, SigninLogs","2"
"Correlate Unfamiliar sign-in properties & atypical travel alerts","High","Scheduled","IdentityInfo, SecurityAlert","2"
"Sign-ins from IPs that attempt sign-ins to disabled accounts","Medium","Scheduled","BehaviorAnalytics, SigninLogs","2"
"AV detections related to SpringShell Vulnerability","High","Scheduled","DeviceInfo, SecurityAlert","2"
"AV detections related to Tarrask malware","High","Scheduled","DeviceInfo, SecurityAlert","2"
"Malicious Inbox Rule","Medium","Scheduled","OfficeActivity, Operation","2"
"TI Map URL Entity to EmailUrlInfo","Medium","Scheduled","EmailEvents, EmailUrlInfo","2"
"Multiple users email forwarded to same destination","Medium","Scheduled","OfficeActivity, Operation","2"
"Brute force attack against a Cloud PC","Medium","Scheduled","Anomalies, SigninLogs","2"
"New access credential added to Application or Service Principal","Medium","Scheduled","AuditLogs, Update","2"
"Brute Force Attack against GitHub Account","Medium","Scheduled","Anomalies, SigninLogs","2"
"Unauthorized PLC changes (Microsoft Defender for IoT)","Medium","Scheduled","Operation, SecurityAlert","2"
"Exchange AuditLog Disabled","Medium","Scheduled","OfficeActivity, Operation","2"
"SAP - Sensitive Privileged User Logged in","High","Scheduled","Update, Watchlist","2"
"TI map File Hash to Security Event","Medium","Scheduled","Event, SecurityEvent","2"
"Threat Essentials - Mass Cloud resource deletions Time Series Anomaly","Medium","Scheduled","Anomalies, AzureActivity","2"
"Suspicious Sign In Followed by MFA Modification","Medium","Scheduled","AuditLogs, BehaviorAnalytics","2"
"Suspicious AAD Joined Device Update","Medium","Scheduled","AuditLogs, Update","2"
"Authentication Methods Changed for Privileged Account","High","Scheduled","AuditLogs, IdentityInfo","2"
"Insider Risk_Risky User Access By Application","Medium","Scheduled","SigninLogs, Watchlist","2"
"Suspicious Service Principal creation activity","Low","Scheduled","AuditLogs, Update","2"
"External guest invitation followed by Microsoft Entra ID PowerShell signin","Medium","Scheduled","AuditLogs, SigninLogs","2"
"Rare and potentially high-risk Office operations","Low","Scheduled","OfficeActivity, Operation","2"
"TI map Domain entity to DnsEvents","Medium","Scheduled","Event, Syslog","2"
"Sign-ins from IPs that attempt sign-ins to disabled accounts","Medium","Scheduled","BehaviorAnalytics, SigninLogs","2"
"Creation of CRUD DynamoDB policy and then privilege escalation.","Medium","Scheduled","Event, Update","2"
"TEARDROP memory-only dropper","High","Scheduled","DeviceEvents","1"
"NRT Squid proxy events related to mining pools","Low","NRT","Syslog","1"
"TI map IP entity to Azure Key Vault logs","Medium","Scheduled","AzureDiagnostics","1"
"SAP - Dynamic ABAP Program","Low","Scheduled","Watchlist","1"
"Scheduled Task Hide","High","Scheduled","SecurityEvent","1"
"Java Executing cmd to run Powershell","High","Scheduled","DeviceProcessEvents","1"
"Privilege escalation via Glue policy","Medium","Scheduled","Update","1"
"TI map Email entity to SecurityAlert","Medium","Scheduled","SecurityAlert","1"
"Stopping multiple processes using taskkill","Medium","Scheduled","DeviceProcessEvents","1"
"LSASS Credential Dumping with Procdump","High","Scheduled","DeviceProcessEvents","1"
"Creation of DataPipeline policy and then privilege escalation.","High","Scheduled","Event","1"
"SFTP File transfer above threshold","Medium","Scheduled","Syslog","1"
"Qakbot Discovery Activies","Medium","Scheduled","DeviceProcessEvents","1"
"TI map Domain entity to Web Session Events (ASIM Web Session schema)","Medium","Scheduled","Syslog","1"
"SAP - Sensitive Role Changes","Medium","Scheduled","Watchlist","1"
"No traffic on Sensor Detected (Microsoft Defender for IoT)","High","Scheduled","SecurityAlert","1"
"TI Map IP Entity to VMConnection","Medium","Scheduled","Event","1"
"SAP - Debugging Activities","Medium","Scheduled","Watchlist","1"
"Unauthorized remote access to the network (Microsoft Defender for IoT)","Medium","Scheduled","SecurityAlert","1"
"TI Map URL Entity to AuditLogs","Medium","Scheduled","AuditLogs","1"
"Potential Fodhelper UAC Bypass","Medium","Scheduled","SecurityEvent","1"
"Regsvr32 Rundll32 Image Loads Abnormal Extension","High","Scheduled","DeviceNetworkEvents","1"
"Deletion of data on multiple drives using cipher exe","Medium","Scheduled","DeviceProcessEvents","1"
"SAP - User Creates and uses new user","High","Scheduled","Watchlist","1"
"SAP - (Preview) AS JAVA - Sensitive Privileged User Signed In","Medium","Scheduled","Watchlist","1"
"hrishikeshtest","Medium","NRT","SigninLogs","1"
"Creation of CRUD KMS policy and then privilege escalation","Medium","Scheduled","Event","1"
"Abnormal Deny Rate for Source IP","Medium","Scheduled","AzureDiagnostics","1"
"SAP - Change in a Sensitive Privileged User","High","Scheduled","Watchlist","1"
"Account Creation","Medium","Scheduled","DeviceProcessEvents","1"
"Creation of SSM policy and then privilege escalation","Medium","Scheduled","Event","1"
"SUNSPOT malware hashes","Medium","Scheduled","DeviceEvents","1"
"TI Map IP Entity to Azure SQL Security Audit Events","Medium","Scheduled","AzureDiagnostics","1"
"Power Apps - Data destruction following publishing of a new app","Medium","Scheduled","Update","1"
"Privilege escalation via CRUD DynamoDB policy","Medium","Scheduled","Update","1"
"SAP - Data collection health check","Medium","Scheduled","Anomalies","1"
"Preview - TI map URL entity to Cloud App Events","Medium","Scheduled","CloudAppEvents","1"
"GreyNoise TI Map IP Entity to DnsEvents","Medium","Scheduled","Event","1"
"SecurityEvent - Multiple authentication failures followed by a success","Low","Scheduled","SecurityEvent","1"
"Port Sweep","Medium","Scheduled","AzureDiagnostics","1"
"TI map Email entity to SigninLogs","Medium","Scheduled","SigninLogs","1"
"Multiple Sources Affected by the Same TI Destination","Medium","Scheduled","AzureDiagnostics","1"
"GitLab - SSO - Sign-Ins Burst","Medium","Scheduled","SigninLogs","1"
"Privilege escalation via CRUD DynamoDB policy","Medium","Scheduled","Update","1"
"Creation of Lambda policy and then privilege escalation","Medium","Scheduled","Event","1"
"SAP - Assignment of a sensitive profile","Medium","Scheduled","Watchlist","1"
"Disabling Security Services via Registry","Medium","Scheduled","DeviceProcessEvents","1"
"TI Map URL Entity to Syslog Data","Medium","Scheduled","Syslog","1"
"SAP - Execution of a Sensitive ABAP Program","High","Scheduled","Watchlist","1"
"CloudFormation policy created then used for privilege escalation","High","Scheduled","Event","1"
"TI Map IP Entity to W3CIISLog","Medium","Scheduled","Event","1"
"Mass secret retrieval from Azure Key Vault","Low","Scheduled","AzureDiagnostics","1"
"Threat Essentials - User Assigned Privileged Role","High","Scheduled","AuditLogs","1"
"User added to Microsoft Entra ID Privileged Groups","Medium","Scheduled","AuditLogs","1"
"Suspicious application consent for offline access","Low","Scheduled","AuditLogs","1"
"Password spray attack against Microsoft Entra ID application","Medium","Scheduled","SigninLogs","1"
"Brute force attack against Azure Portal","Medium","Scheduled","SigninLogs","1"
"GitHub Signin Burst from Multiple Locations","Medium","Scheduled","SigninLogs","1"
"Password spray attack against Microsoft Entra ID Seamless SSO","Medium","Scheduled","SigninLogs","1"
"Privileged Role Assigned Outside PIM","Low","Scheduled","AuditLogs","1"
"New User Assigned to Privileged Role","High","Scheduled","AuditLogs","1"
"PIM Elevation Request Rejected","High","Scheduled","AuditLogs","1"
"Suspicious application consent similar to PwnAuth","Medium","Scheduled","AuditLogs","1"
"Suspicious application consent similar to O365 Attack Toolkit","High","Scheduled","AuditLogs","1"
"Mail.Read Permissions Granted to Application","Medium","Scheduled","AuditLogs","1"
"Guest accounts added in AAD Groups other than the ones specified","High","Scheduled","AuditLogs","1"
"Failed login attempts to Azure Portal","Low","Scheduled","SigninLogs","1"
"Distributed Password cracking attempts in Microsoft Entra ID","Medium","Scheduled","SigninLogs","1"
"Attempts to sign in to disabled accounts","Medium","Scheduled","SigninLogs","1"
"Multiple admin membership removals from newly created admin.","Medium","Scheduled","AuditLogs","1"
"Cross-tenant Access Settings Organization Deleted","Medium","Scheduled","AuditLogs","1"
"New CloudShell User","Low","Scheduled","AzureActivity","1"
"Test-Entra ID Playbook","Medium","Scheduled","SigninLogs","1"
"successful logon followed by multiple failed logon","Medium","NRT","SigninLogs","1"
"jisstestblock","Medium","NRT","SigninLogs","1"
"Failed login attempts to Azure Portal","Low","Scheduled","SigninLogs","1"
"Heartbeat_Stoppage_Alert","Medium","Scheduled","Heartbeat","1"
"Impossible Travel login detected","High","NRT","SigninLogs","1"
"NRT – Addition to Privileged Role","High","NRT","AuditLogs","1"
"Failed Logon Multiple times","High","Scheduled","SigninLogs","1"
"Creation of expensive computes in Azure","Low","Scheduled","AzureActivity","1"
"Linux | Shell pip to Shell","Medium","NRT","Syslog","1"
"TI map Domain entity to SecurityAlert","Medium","Scheduled","SecurityAlert","1"
"Atypical Travel Activity Observed","High","Scheduled","SigninLogs","1"
"Detect Suspicious Commands Initiated by Webserver Processes","High","Scheduled","DeviceProcessEvents","1"
"Bitsadmin Activity","Medium","Scheduled","DeviceProcessEvents","1"
"Preview - TI map Domain entity to Cloud App Events","Medium","Scheduled","CloudAppEvents","1"
"Preview - TI map Email entity to Cloud App Events","Medium","Scheduled","CloudAppEvents","1"
"Sign-In from a suspicious Country Detected_Custom","High","Scheduled","SigninLogs","1"
"Automation Test Rule","Low","Scheduled","Heartbeat","1"
"Cross-tenant Access Settings Organization Added","Medium","Scheduled","AuditLogs","1"
"Credential added after admin consented to Application","Medium","Scheduled","AuditLogs","1"
"Attempt to bypass conditional access rule in Microsoft Entra ID","Low","Scheduled","SigninLogs","1"
"Internet Access (Microsoft Defender for IoT)","High","Scheduled","SecurityAlert","1"
"Abnormal Port to Protocol","Medium","Scheduled","AzureDiagnostics","1"
"SAP - Sensitive User's Password Change and Log in","High","Scheduled","Watchlist","1"
"Suspicious AWS EC2 Compute Resource Deployments","Medium","Scheduled","Event","1"
"AD user enabled and password not set within 48 hours","Low","Scheduled","SecurityEvent","1"
"DopplePaymer Procdump","High","Scheduled","DeviceProcessEvents","1"
"Starting or Stopping HealthService to Avoid Detection","Medium","Scheduled","SecurityEvent","1"
"TI Map URL Entity to SecurityAlert Data","Medium","Scheduled","SecurityAlert","1"
"Threat Essentials - NRT User added to Microsoft Entra ID Privileged Groups","Medium","NRT","AuditLogs","1"
"Unauthorized DHCP configuration in the network (Microsoft Defender for IoT)","Medium","Scheduled","SecurityAlert","1"
"Gain Code Execution on ADFS Server via SMB + Remote Service or Scheduled Task","Medium","Scheduled","SecurityEvent","1"
"Detect CoreBackUp Deletion Activity from related Security Alerts","Medium","Scheduled","SecurityAlert","1"
"LaZagne Credential Theft","Medium","Scheduled","DeviceProcessEvents","1"
"TI map Email entity to SecurityEvent","Medium","Scheduled","SecurityEvent","1"
"Deimos Component Execution","High","Scheduled","DeviceEvents","1"
"AV detections related to Ukraine threats","High","Scheduled","SecurityAlert","1"
"Multiple scans in the network (Microsoft Defender for IoT)","High","Scheduled","SecurityAlert","1"
"Excessive Login Attempts (Microsoft Defender for IoT)","High","Scheduled","SecurityAlert","1"
"TI map Domain entity to Syslog","Medium","Scheduled","Syslog","1"
"SSH - Potential Brute Force","Low","Scheduled","Syslog","1"
"Bulk Changes to Privileged Account Permissions","High","Scheduled","AuditLogs","1"
"Azure Portal sign in from another Azure Tenant","Medium","Scheduled","SigninLogs","1"
"Microsoft Entra ID Role Management Permission Grant","High","Scheduled","AuditLogs","1"
"Microsoft Entra ID PowerShell accessing non-Entra ID resources","Low","Scheduled","SigninLogs","1"
"Admin promotion after Role Management Application Permission Grant","High","Scheduled","AuditLogs","1"
"Modified domain federation trust settings","High","Scheduled","AuditLogs","1"
"Account Created and Deleted in Short Timeframe","High","Scheduled","AuditLogs","1"
"First access credential added to Application or Service Principal where no credential was present","High","Scheduled","AuditLogs","1"
"Account created or deleted by non-approved user","Medium","Scheduled","AuditLogs","1"
"BruteForce detected on the Windows Machine","High","Scheduled","SecurityEvent","1"
"Potential Account Compromise: Impossible Travel Activity","High","Scheduled","SigninLogs","1"
"Failed MFA challenge","Medium","Scheduled","SigninLogs","1"
"Impossible Travel Activity_Custom","High","Scheduled","SigninLogs","1"
"Entra ID Audit logs - user role assignment change","Low","Scheduled","AuditLogs","1"
"Suspicious Sign-In Activities from High-Risk Countries_Custom","High","Scheduled","SigninLogs","1"
"Linked Malicious Storage Artifacts","Medium","Scheduled","SecurityAlert","1"
"SAP - (Preview) Data exported from a production system using a transport","Medium","Scheduled","Watchlist","1"
"Infoblox - TI - Syslog Match Found - URL","Medium","Scheduled","Syslog","1"
"TI map Domain entity to SecurityAlert","Medium","Scheduled","SecurityAlert","1"
"Failed login attempts to Azure Portal","Low","Scheduled","SigninLogs","1"
"jiss reset rule","Medium","NRT","SigninLogs","1"
"TI Map IP Entity to AzureActivity","Medium","Scheduled","AzureActivity","1"
"Files Copied to USB Drives","High","Scheduled","DeviceEvents","1"
"TI Map URL Entity to UrlClickEvents","Medium","Scheduled","UrlClickEvents","1"
"Service Accounts Performing Remote PS","High","Scheduled","DeviceEvents","1"
"NRT Security Event log cleared","Medium","NRT","SecurityEvent","1"
"Detection of Malicious URLs in Syslog Events","Medium","Scheduled","Syslog","1"
"Privilege escalation via CRUD Lambda policy","Medium","Scheduled","Update","1"
"Exchange OAB Virtual Directory Attribute Containing Potential Webshell","High","Scheduled","SecurityEvent","1"
"Creation of EC2 policy and then privilege escalation","High","Scheduled","Event","1"
"Unauthorized device in the network (Microsoft Defender for IoT)","Medium","Scheduled","SecurityAlert","1"
"Power Platform - Possibly compromised user accesses Power Platform services","High","Scheduled","SigninLogs","1"
"Non Domain Controller Active Directory Replication","High","Scheduled","SecurityEvent","1"
"Clearing of forensic evidence from event logs using wevtutil","High","Scheduled","DeviceProcessEvents","1"
"Failed logon attempts in authpriv","Medium","Scheduled","Syslog","1"
"TI map Email entity to PaloAlto CommonSecurityLog","Medium","Scheduled","Event","1"
"SAP - FTP for non authorized servers","Medium","Scheduled","Watchlist","1"
"Doppelpaymer Stop Services","High","Scheduled","DeviceProcessEvents","1"
"High bandwidth in the network (Microsoft Defender for IoT)","Low","Scheduled","SecurityAlert","1"
"Denial of Service (Microsoft Defender for IoT)","High","Scheduled","SecurityAlert","1"
"Several deny actions registered","Medium","Scheduled","AzureDiagnostics","1"
"Power Apps - Bulk sharing of Power Apps to newly created guest users","Medium","Scheduled","AuditLogs","1"
"Threat Essentials - Time series anomaly for data size transferred to public internet","Medium","Scheduled","Anomalies","1"
"SAP - Execution of Sensitive Function Module","High","Scheduled","Watchlist","1"
"TI Map IP Entity to DnsEvents","Medium","Scheduled","Event","1"
"Sdelete deployed via GPO and run recursively","Medium","Scheduled","SecurityEvent","1"
"Admin promotion after Role Management Application Permission Grant","High","Scheduled","AuditLogs","1"
"Shadow Copy Deletions","Medium","Scheduled","DeviceProcessEvents","1"
"Potential Build Process Compromise - MDE","Medium","Scheduled","DeviceProcessEvents","1"
"Suspicious malware found in the network (Microsoft Defender for IoT)","High","Scheduled","SecurityAlert","1"
"TI map Email entity to AzureActivity","Medium","Scheduled","AzureActivity","1"
"PLC Stop Command (Microsoft Defender for IoT)","Medium","Scheduled","SecurityAlert","1"
"Squid proxy events for ToR proxies","Low","Scheduled","Syslog","1"
"TI Map IP Entity to DeviceNetworkEvents","Medium","Scheduled","DeviceNetworkEvents","1"
"Power Automate - Departing employee flow activity","High","Scheduled","PowerAutomateActivity","1"
"TI map Email entity to EmailEvents","Medium","Scheduled","EmailEvents","1"
"SAP - Data has Changed During Debugging Activity","High","Scheduled","Watchlist","1"
"Squid proxy events related to mining pools","Low","Scheduled","Syslog","1"
"Detection of Malware C2 Domains in DNS Events","Medium","Scheduled","Syslog","1"
"TI Map IP Entity to SigninLogs","Medium","Scheduled","SigninLogs","1"
"TI Map URL Entity to DeviceNetworkEvents","Medium","Scheduled","DeviceNetworkEvents","1"
"NRT Sensitive Azure Key Vault operations","Low","NRT","AzureDiagnostics","1"
"Detect Potential Kerberoast Activities","Medium","Scheduled","IdentityLogonEvents","1"
"Preview - TI map IP entity to Cloud App Events","Medium","Scheduled","CloudAppEvents","1"
"PLC unsecure key state (Microsoft Defender for IoT)","Low","Scheduled","SecurityAlert","1"
"Bulk Changes to Privileged Account Permissions","High","Scheduled","AuditLogs","1"
"Account created or deleted by non-approved user","Medium","Scheduled","AuditLogs","1"
"Azure Active Directory PowerShell accessing non-AAD resources","Low","Scheduled","SigninLogs","1"
"Attempts to sign in to disabled accounts","Medium","Scheduled","SigninLogs","1"
"Azure Portal sign in from another Azure Tenant","Medium","Scheduled","SigninLogs","1"
"Full Admin policy created and then attached to Roles, Users or Groups","Medium","Scheduled","Event","1"
"C2-NamedPipe","High","Scheduled","DeviceEvents","1"
"SAP - Brute Force (RFC)","Medium","Scheduled","Watchlist","1"
"SUNBURST network beacons","Medium","Scheduled","DeviceNetworkEvents","1"
"Qakbot Campaign Self Deletion","Medium","Scheduled","DeviceProcessEvents","1"
"Microsoft Entra ID Local Device Join Information and Transport Key Registry Keys Access","Medium","Scheduled","SecurityEvent","1"
"TI map Domain entity to EmailEvents","Medium","Scheduled","EmailEvents","1"
"NRT Base64 Encoded Windows Process Command-lines","Medium","NRT","SecurityEvent","1"
"GreyNoise TI Map IP Entity to SigninLogs","Medium","Scheduled","SigninLogs","1"
"Possible AiTM Phishing Attempt Against Microsoft Entra ID","Medium","Scheduled","SigninLogs","1"
"NRT Process executed from binary hidden in Base64 encoded file","Medium","NRT","SecurityEvent","1"
"Detection of Malware C2 IPs in Azure Act. Events","Medium","Scheduled","AzureActivity","1"
"Anomaly found in Network Session Traffic (ASIM Network Session schema)","Medium","Scheduled","Anomalies","1"
"Office Apps Launching Wscipt","Medium","Scheduled","DeviceProcessEvents","1"
"Detect port misuse by anomaly based detection (ASIM Network Session schema)","Medium","Scheduled","Anomalies","1"
"Detection of Malware C2 Domains in Syslog Events","Medium","Scheduled","Syslog","1"
"Power Apps - App activity from unauthorized geo","Low","Scheduled","SigninLogs","1"
"SAP - Printing of potentially sensitive data","High","Scheduled","Watchlist","1"
"TI Map IP Entity to CommonSecurityLog","Medium","Scheduled","","0"
"TI map IP entity to AWSCloudTrail","Medium","Scheduled","","0"
"Changes made to AWS CloudTrail logs","High","Scheduled","","0"
"Jira - User removed from project","Medium","Scheduled","","0"
"TI map IP entity to DNS Events (ASIM DNS schema)","Medium","Scheduled","","0"
"TI map Domain entity to PaloAlto CommonSecurityLog","Medium","Scheduled","","0"
"Changes to AWS Security Group ingress and egress settings","Low","Scheduled","","0"
"Cisco SEG - Multiple suspiciuos attachments received","High","Scheduled","","0"
"GreyNoise TI map IP entity to Network Session Events (ASIM Network Session schema)","Medium","Scheduled","","0"
"CiscoISE - Device PostureStatus changed to non-compliant","Medium","Scheduled","","0"
"Changes to Amazon VPC settings","Low","Scheduled","","0"
"vArmour AppController - SMB Realm Traversal","Medium","Scheduled","","0"
"Threats detected by ESET","Low","Scheduled","","0"
"Infoblox - Many NXDOMAIN DNS Responses Detected","Medium","Scheduled","","0"
"McAfee ePO - Firewall disabled","Medium","Scheduled","","0"
"Claroty - Asset Down","High","Scheduled","","0"
"OracleDBAudit - Connection to database from unknown IP","Medium","Scheduled","","0"
"Critical Risks","High","Scheduled","","0"
"ApexOne - Inbound remote access connection","High","Scheduled","","0"
"Semperis DSP Mimikatz's DCShadow Alert","High","Scheduled","","0"
"VMware ESXi - Low patch disk space","Medium","Scheduled","","0"
"PaloAlto - MAC address conflict","Low","Scheduled","","0"
"User Login from Different Countries within 3 hours","High","Scheduled","","0"
"Claroty - New Asset","High","Scheduled","","0"
"Privilege escalation via EC2 policy","Medium","Scheduled","","0"
"SonicWall - Capture ATP Malicious File Detection","Medium","Scheduled","","0"
"Detection of Malware C2 IPs in DNS Events","Medium","Scheduled","","0"
"Successful API executed from a Tor exit node","High","Scheduled","","0"
"Infoblox - Many High Threat Level Single Query Detected","Medium","Scheduled","","0"
"PaloAlto - File type changed","Medium","Scheduled","","0"
"PaloAlto - Possible port scan","High","Scheduled","","0"
"TI map File Hash to CommonSecurityLog Event","Medium","Scheduled","","0"
"SAP - Activation or Deactivation of ICF Service","High","Scheduled","","0"
"CiscoISE - Device changed IP in last 24 hours","Medium","Scheduled","","0"
"Successful brute force attack on S3 Bucket.","High","Scheduled","","0"
"Jira - Workflow scheme copied","Medium","Scheduled","","0"
"GitLab - External User Added to GitLab","Medium","Scheduled","","0"
"Network ACL with all the open ports to a specified CIDR","High","Scheduled","","0"
"S3 bucket exposed via policy","Medium","Scheduled","","0"
"PaloAlto - Possible flooding","Medium","Scheduled","","0"
"McAfee ePO - Error sending alert","Medium","Scheduled","","0"
"SAP - (Preview) Critical authorizations assignment - New Authorization Value","Medium","Scheduled","","0"
"Potential Password Spray Attack","Medium","Scheduled","","0"
"Stellar Incident -","High","NRT","","0"
"Network Port Sweep from External Network (ASIM Network Session schema)","High","Scheduled","","0"
"Detect port misuse by static threshold (ASIM Network Session schema)","Medium","Scheduled","","0"
"Excessive number of failed connections from a single source (ASIM Network Session schema)","Medium","Scheduled","","0"
"Creating keys with encrypt policy without MFA","Medium","Scheduled","","0"
"S3 bucket access point publicly exposed","Medium","Scheduled","","0"
"(Preview) Anomalous RDP Login Detections","Medium","MLBehaviorAnalytics","","0"
"Imminent Ransomware","High","Scheduled","","0"
"(Preview) Anomalous SSH Login Detection","Medium","MLBehaviorAnalytics","","0"
"(Preview) Microsoft Defender Threat Intelligence Analytics","Medium","ThreatIntelligence","","0"
"Fortigate potential SQL Injection attack detected_Custom","Medium","Scheduled","","0"
"NRT-DESC-Threat Activity Detected","High","NRT","","0"
"Fortigate Possible Remote Code Execution Vulnerability in FortiOS SSL VPN_Custom","High","Scheduled","","0"
"Fortinet - Accessing Remote Applications where device action is not blocked","High","Scheduled","","0"
"ZPA_login","Medium","Scheduled","","0"
"Password spray attack against ADFSSignInLogs","Medium","Scheduled","","0"
