"DisplayName","Severity","Kind","Tactics","LastModified"
"(Preview) Anomalous RDP Login Detections","Medium","MLBehaviorAnalytics","InitialAccess","8/21/2024 1:11:03 PM"
"Rare Process as a Service","Medium","Scheduled","Persistence","8/21/2024 1:12:48 PM"
"Port scan detected  (ASIM Network Session schema)","Medium","Scheduled","Discovery","8/21/2024 1:13:02 PM"
"S3 bucket access point publicly exposed","Medium","Scheduled","Exfiltration","8/21/2024 1:14:08 PM"
"Detect port misuse by anomaly based detection (ASIM Network Session schema)","Medium","Scheduled","CommandAndControl, LateralMovement, Execution, InitialAccess","8/21/2024 1:14:10 PM"
"Excessive number of failed connections from a single source (ASIM Network Session schema)","Medium","Scheduled","Impact","8/21/2024 1:15:24 PM"
"Anomaly found in Network Session Traffic (ASIM Network Session schema)","Medium","Scheduled","CommandAndControl, Discovery, Exfiltration, LateralMovement","8/21/2024 1:17:55 PM"
"Detect port misuse by static threshold (ASIM Network Session schema)","Medium","Scheduled","CommandAndControl, Execution, InitialAccess","8/21/2024 1:19:39 PM"
"Network Port Sweep from External Network (ASIM Network Session schema)","High","Scheduled","Discovery","8/21/2024 1:20:41 PM"
"NRT Base64 Encoded Windows Process Command-lines","Medium","NRT","Execution, DefenseEvasion","8/21/2024 1:23:27 PM"
"Potential Password Spray Attack","Medium","Scheduled","CredentialAccess","8/21/2024 1:29:39 PM"
"SAP - (Preview) Critical authorizations assignment - New Authorization Value","Medium","Scheduled","PrivilegeEscalation","8/21/2024 1:31:12 PM"
"McAfee ePO - Error sending alert","Medium","Scheduled","DefenseEvasion","8/21/2024 1:35:21 PM"
"TI Map IP Entity to DeviceNetworkEvents","Medium","Scheduled","CommandAndControl","8/21/2024 1:37:03 PM"
"PaloAlto - Possible flooding","Medium","Scheduled","InitialAccess","8/21/2024 1:39:33 PM"
"TI Map IP Entity to AzureActivity","Medium","Scheduled","CommandAndControl","8/21/2024 1:40:35 PM"
"Creation of CRUD DynamoDB policy and then privilege escalation.","Medium","Scheduled","PrivilegeEscalation","8/21/2024 1:45:56 PM"
"S3 bucket exposed via policy","Medium","Scheduled","Exfiltration","8/21/2024 1:47:18 PM"
"TI Map URL Entity to UrlClickEvents","Medium","Scheduled","CommandAndControl","8/21/2024 1:48:42 PM"
"Network ACL with all the open ports to a specified CIDR","High","Scheduled","DefenseEvasion","8/21/2024 1:50:05 PM"
"TI map Domain entity to DnsEvents","Medium","Scheduled","CommandAndControl","8/21/2024 1:51:52 PM"
"GitLab - External User Added to GitLab","Medium","Scheduled","Persistence","8/21/2024 1:53:55 PM"
"NRT Security Event log cleared","Medium","NRT","DefenseEvasion","8/21/2024 1:57:21 PM"
"Creating keys with encrypt policy without MFA","Medium","Scheduled","Impact","8/21/2024 2:00:57 PM"
"McAfee ePO - Multiple threats on same host","Medium","Scheduled","InitialAccess, Persistence, DefenseEvasion, PrivilegeEscalation","8/21/2024 2:02:06 PM"
"Cisco WSA - Unexpected file type","Medium","Scheduled","InitialAccess","8/21/2024 2:03:50 PM"
"Unauthorized device in the network (Microsoft Defender for IoT)","Medium","Scheduled","Discovery","8/21/2024 2:05:53 PM"
"Power Platform - Possibly compromised user accesses Power Platform services","High","Scheduled","InitialAccess, LateralMovement","8/21/2024 2:06:51 PM"
"Non Domain Controller Active Directory Replication","High","Scheduled","CredentialAccess","8/21/2024 2:08:33 PM"
"TI map Email entity to OfficeActivity","Medium","Scheduled","InitialAccess","8/21/2024 2:23:51 PM"
"SUNBURST and SUPERNOVA backdoor hashes","High","Scheduled","Execution, Persistence, InitialAccess","8/21/2024 2:25:16 PM"
"CiscoISE - Log files deleted","Medium","Scheduled","DefenseEvasion","8/21/2024 2:35:05 PM"
"Website blocked by ESET","Low","Scheduled","Exfiltration, CommandAndControl, InitialAccess","8/21/2024 2:45:35 PM"
"Cisco WSA - Multiple errors to URL","Medium","Scheduled","CommandAndControl","8/21/2024 2:47:17 PM"
"OracleDBAudit - Shutdown Server","Medium","Scheduled","Impact","8/21/2024 2:49:19 PM"
"Fortiweb - WAF Allowed threat","High","Scheduled","InitialAccess","8/21/2024 2:50:10 PM"
"Claroty - Multiple failed logins to same destinations","High","Scheduled","InitialAccess","8/21/2024 2:51:46 PM"
"Contrast Exploits","High","Scheduled","InitialAccess, Exfiltration","8/21/2024 2:53:09 PM"
"Squid proxy events for ToR proxies","Low","Scheduled","CommandAndControl","4/19/2025 8:20:25 AM"
"Local Admin Group Changes","High","Scheduled","Persistence","4/20/2025 7:25:44 AM"
"McAfee ePO - Unable to clean or delete infected file","High","Scheduled","DefenseEvasion","8/21/2024 2:59:46 PM"
"Semperis DSP Well-known privileged SIDs in sIDHistory","Medium","Scheduled","PrivilegeEscalation, DefenseEvasion","8/21/2024 3:01:17 PM"
"Preview - TI map File Hash entity to Cloud App Events","Medium","Scheduled","CommandAndControl","4/18/2025 1:21:38 PM"
"CiscoISE - Backup failed","Medium","Scheduled","Impact","8/21/2024 3:03:44 PM"
"Power Apps - Bulk sharing of Power Apps to newly created guest users","Medium","Scheduled","ResourceDevelopment, InitialAccess, LateralMovement","8/21/2024 3:05:16 PM"
"Several deny actions registered","Medium","Scheduled","Discovery, LateralMovement, CommandAndControl","8/21/2024 3:07:26 PM"
"Denial of Service (Microsoft Defender for IoT)","High","Scheduled","InhibitResponseFunction","8/21/2024 3:07:26 PM"
"High bandwidth in the network (Microsoft Defender for IoT)","Low","Scheduled","Discovery","8/21/2024 3:11:09 PM"
"Ping Federate - Unexpected country for user","Medium","Scheduled","InitialAccess","8/21/2024 3:12:38 PM"
"OracleDBAudit - SQL injection patterns","Medium","Scheduled","InitialAccess","8/21/2024 3:13:51 PM"
"Threat Essentials - Time series anomaly for data size transferred to public internet","Medium","Scheduled","Exfiltration","4/18/2025 1:19:26 PM"
"McAfee ePO - Agent Handler down","Medium","Scheduled","DefenseEvasion","8/21/2024 3:16:35 PM"
"Successful brute force attack on S3 Bucket.","High","Scheduled","DefenseEvasion","8/21/2024 3:18:02 PM"
"ApexOne - Spyware with failed response","High","Scheduled","InitialAccess","8/21/2024 3:18:47 PM"
"Insider Risk_High User Security Incidents Correlation","High","Scheduled","Execution","8/21/2024 3:20:46 PM"
"Doppelpaymer Stop Services","High","Scheduled","Execution, DefenseEvasion","8/21/2024 3:21:47 PM"
"Failed logon attempts in authpriv","Medium","Scheduled","CredentialAccess","8/21/2024 3:22:20 PM"
"Accessed files shared by temporary external user","Low","Scheduled","InitialAccess","8/21/2024 3:22:35 PM"
"ClientDeniedAccess","Medium","Scheduled","CredentialAccess","8/21/2024 3:23:56 PM"
"Port Scan Detected","Medium","Scheduled","Discovery","8/21/2024 3:24:48 PM"
"Claroty - Treat detected","High","Scheduled","Discovery","8/21/2024 3:28:08 PM"
"Files Copied to USB Drives","High","Scheduled","Exfiltration","8/21/2024 3:29:37 PM"
"SAP - Data has Changed During Debugging Activity","High","Scheduled","Execution, LateralMovement","8/21/2024 3:30:23 PM"
"Semperis DSP Recent sIDHistory changes on AD objects","High","Scheduled","PrivilegeEscalation","8/21/2024 3:32:39 PM"
"Suspicious AWS CLI Command Execution","Medium","Scheduled","Reconnaissance","8/21/2024 3:34:01 PM"
"Detection of Malware C2 IPs in Azure Act. Events","Medium","Scheduled","CommandAndControl","8/21/2024 3:35:56 PM"
"New EXE deployed via Default Domain or Default Domain Controller Policies","High","Scheduled","Execution, LateralMovement","8/21/2024 3:38:01 PM"
"Detection of Malware C2 Domains in Syslog Events","Medium","Scheduled","CommandAndControl","8/21/2024 3:39:28 PM"
"Excessive Blocked Traffic Events Generated by User","Medium","Scheduled","Exfiltration, CommandAndControl, LateralMovement","4/16/2025 7:04:22 AM"
"Semperis DSP Kerberos krbtgt account with old password","Medium","Scheduled","CredentialAccess","8/21/2024 3:41:06 PM"
"Cisco ASA - threat detection message fired","Medium","Scheduled","Discovery, Impact","8/21/2024 3:42:29 PM"
"NRT Sensitive Azure Key Vault operations","Low","NRT","Impact","8/21/2024 3:45:07 PM"
"Suspicious command sent to EC2","High","Scheduled","Execution","8/21/2024 3:47:04 PM"
"Jira - Workflow scheme copied","Medium","Scheduled","Collection","8/21/2024 3:49:36 PM"
"Sensitive Data Discovered in the Last 24 Hours - Customized","Informational","Scheduled","Discovery","8/21/2024 3:52:40 PM"
"Preview - TI map IP entity to Cloud App Events","Medium","Scheduled","CommandAndControl","4/18/2025 1:20:09 PM"
"TI map IP entity to DNS Events (ASIM DNS schema)","Medium","Scheduled","CommandAndControl","8/21/2024 3:54:24 PM"
"TI map Email entity to EmailEvents","Medium","Scheduled","InitialAccess","8/21/2024 3:55:14 PM"
"Jira - User removed from project","Medium","Scheduled","Impact","8/21/2024 3:55:57 PM"
"Creation of EC2 policy and then privilege escalation","High","Scheduled","PrivilegeEscalation","8/21/2024 3:56:31 PM"
"SAP - System Configuration Change","High","Scheduled","Exfiltration, DefenseEvasion, Persistence","8/21/2024 3:56:38 PM"
"TI map Domain entity to PaloAlto CommonSecurityLog","Medium","Scheduled","CommandAndControl","8/21/2024 3:58:25 PM"
"Changes made to AWS CloudTrail logs","High","Scheduled","DefenseEvasion","8/21/2024 4:00:04 PM"
"Semperis DSP Mimikatz's DCShadow Alert","High","Scheduled","DefenseEvasion","8/21/2024 4:05:46 PM"
"TI map File Hash to CommonSecurityLog Event","Medium","Scheduled","CommandAndControl","8/21/2024 4:06:30 PM"
"PaloAlto - File type changed","Medium","Scheduled","InitialAccess","8/21/2024 4:08:35 PM"
"Infoblox - Many High Threat Level Single Query Detected","Medium","Scheduled","Impact","8/21/2024 4:09:27 PM"
"New executable via Office FileUploaded Operation","Low","Scheduled","CommandAndControl, LateralMovement","8/21/2024 4:11:00 PM"
"Successful API executed from a Tor exit node","High","Scheduled","Execution","8/21/2024 4:14:14 PM"
"Privilege escalation via EC2 policy","Medium","Scheduled","PrivilegeEscalation","8/21/2024 4:15:53 PM"
"Claroty - New Asset","High","Scheduled","InitialAccess","8/21/2024 4:16:44 PM"
"ApexOne - Inbound remote access connection","High","Scheduled","LateralMovement","8/21/2024 7:35:52 PM"
"Critical Risks","High","Scheduled","Execution, InitialAccess, PrivilegeEscalation","8/21/2024 7:42:31 PM"
"McAfee ePO - Firewall disabled","Medium","Scheduled","DefenseEvasion, CommandAndControl","8/21/2024 7:47:30 PM"
"SAP - Execution of an Obsolete or an Insecure Function Module","Medium","Scheduled","Discovery, CommandAndControl","8/21/2024 7:48:42 PM"
"Infoblox - Many NXDOMAIN DNS Responses Detected","Medium","Scheduled","Impact","8/21/2024 7:52:35 PM"
"GitLab - User Impersonation","Medium","Scheduled","Persistence","8/21/2024 7:55:21 PM"
"Full Admin policy created and then attached to Roles, Users or Groups","Medium","Scheduled","PrivilegeEscalation","8/21/2024 7:56:41 PM"
"SAP - Brute Force (RFC)","Medium","Scheduled","CredentialAccess","8/21/2024 8:01:35 PM"
"Detect Potential Kerberoast Activities","Medium","Scheduled","CredentialAccess","8/21/2024 8:03:11 PM"
"Threat Essentials - Mail redirect via ExO transport rule","Medium","Scheduled","Collection, Exfiltration","8/21/2024 8:04:37 PM"
"SUNBURST network beacons","Medium","Scheduled","Execution, Persistence, InitialAccess","8/21/2024 8:05:56 PM"
"SAP - Client Configuration Change","High","Scheduled","DefenseEvasion, Exfiltration, Persistence","8/21/2024 8:10:13 PM"
"Office Apps Launching Wscipt","Medium","Scheduled","Execution, Collection, CommandAndControl","8/21/2024 8:22:17 PM"
"Jira - Global permission added","Medium","Scheduled","PrivilegeEscalation","8/21/2024 8:27:39 PM"
"OracleDBAudit - Multiple tables dropped in short time","Medium","Scheduled","Impact","8/21/2024 8:30:32 PM"
"Unusual Volume of file deletion by users","High","Scheduled","Impact","8/21/2024 8:34:03 PM"
"SAP - New ICF Services","High","Scheduled","CommandAndControl, Persistence, LateralMovement","8/21/2024 8:37:00 PM"
"Microsoft Entra ID Local Device Join Information and Transport Key Registry Keys Access","Medium","Scheduled","Discovery","8/21/2024 8:38:23 PM"
"Ping Federate - Abnormal password resets for user","High","Scheduled","InitialAccess, Persistence, PrivilegeEscalation","8/21/2024 8:40:52 PM"
"TI map File Hash to DeviceFileEvents Event","Medium","Scheduled","CommandAndControl","8/21/2024 8:42:55 PM"
"Service Accounts Performing Remote PS","High","Scheduled","LateralMovement","8/21/2024 8:43:57 PM"
"Detection of Malicious URLs in Syslog Events","Medium","Scheduled","Impact","8/21/2024 8:45:19 PM"
"Privilege escalation via CRUD Lambda policy","Medium","Scheduled","PrivilegeEscalation","8/21/2024 8:46:58 PM"
"SAP - (Preview) Dynamic Anomaly based Audit Log Monitor Alerts","High","Scheduled","","8/22/2024 5:16:13 AM"
"McAfee ePO - Logging error occurred","Medium","Scheduled","DefenseEvasion","8/22/2024 5:17:49 AM"
"SAP - Transaction is unlocked","Medium","Scheduled","Persistence, Execution","8/22/2024 5:19:30 AM"
"Potential Build Process Compromise - MDE","Medium","Scheduled","Persistence","8/22/2024 5:20:17 AM"
"Shadow Copy Deletions","Medium","Scheduled","Impact","8/22/2024 5:23:11 AM"
"Sdelete deployed via GPO and run recursively","Medium","Scheduled","Impact","8/22/2024 5:23:49 AM"
"CiscoISE - Certificate has expired","Medium","Scheduled","CredentialAccess","8/22/2024 5:25:05 AM"
"ECR image scan findings high or critical","High","Scheduled","Execution","8/22/2024 5:26:27 AM"
"Privilege escalation via CRUD S3 policy","Medium","Scheduled","PrivilegeEscalation","8/22/2024 5:27:50 AM"
"TI map Email entity to AzureActivity","Medium","Scheduled","InitialAccess","8/22/2024 5:28:27 AM"
"Failed Logins from Unknown or Invalid User","Medium","Scheduled","CredentialAccess","8/22/2024 5:36:57 AM"
"Privilege escalation with FullAccess managed policy","Medium","Scheduled","PrivilegeEscalation","8/22/2024 5:37:58 AM"
"GreyNoise TI Map IP Entity to SigninLogs","Medium","Scheduled","Impact","8/22/2024 5:38:58 AM"
"Detection of Malware C2 Domains in DNS Events","Medium","Scheduled","CommandAndControl","8/22/2024 5:41:28 AM"
"GitLab - Repository visibility to Public","Medium","Scheduled","Persistence, DefenseEvasion, CredentialAccess","8/22/2024 5:42:15 AM"
"Cisco WSA - Multiple infected files","High","Scheduled","InitialAccess","8/22/2024 5:44:04 AM"
"SAP - (Preview) Capture-replay vulnerability in SAP NetWeaver [CVE-2023-0014]","High","Scheduled","CredentialAccess","8/22/2024 5:45:21 AM"
"Clearing of forensic evidence from event logs using wevtutil","High","Scheduled","DefenseEvasion","8/22/2024 5:46:38 AM"
"SAP - High volume of potentially sensitive data exported","High","Scheduled","Exfiltration","8/22/2024 5:48:42 AM"
"CiscoISE -  Command executed with the highest privileges from new IP","Medium","Scheduled","InitialAccess, Persistence, PrivilegeEscalation, DefenseEvasion, Execution","8/22/2024 5:50:04 AM"
"TI Map URL Entity to DeviceNetworkEvents","Medium","Scheduled","CommandAndControl","8/22/2024 5:55:02 AM"
"TI Map IP Entity to SigninLogs","Medium","Scheduled","CommandAndControl","8/22/2024 5:55:47 AM"
"Excessive NXDOMAIN DNS Queries","Medium","Scheduled","CommandAndControl","8/22/2024 6:01:21 AM"
"TI map IP entity to Web Session Events (ASIM Web Session schema)","Medium","Scheduled","CommandAndControl","8/22/2024 6:02:12 AM"
"Squid proxy events related to mining pools","Low","Scheduled","CommandAndControl","4/19/2025 8:18:51 AM"
"Policy version set to default","Medium","Scheduled","InitialAccess","8/22/2024 6:05:10 AM"
"ApexOne - Suspicious connections","High","Scheduled","CommandAndControl","8/22/2024 6:05:57 AM"
"Creation of CRUD Lambda policy and then privilege escalation","Medium","Scheduled","PrivilegeEscalation","8/22/2024 6:08:44 AM"
"Power Automate - Departing employee flow activity","High","Scheduled","Exfiltration, Impact","8/22/2024 6:09:25 AM"
"Privilege escalation via SSM policy","Medium","Scheduled","PrivilegeEscalation","8/22/2024 6:10:47 AM"
"OracleDBAudit - Connection to database from external IP","Medium","Scheduled","InitialAccess, Collection, Exfiltration","8/22/2024 6:12:54 AM"
"Excessive Amount of Denied Connections from a Single Source","Medium","Scheduled","Impact","8/22/2024 6:13:44 AM"
"Suspicious overly permissive KMS key policy created","High","Scheduled","Impact","8/22/2024 6:14:36 AM"
"TI Map IP Entity to DnsEvents","Medium","Scheduled","CommandAndControl","8/22/2024 6:15:14 AM"
"SAP - Printing of potentially sensitive data","High","Scheduled","Exfiltration","8/22/2024 6:17:02 AM"
"TI map Domain entity to PaloAlto","Medium","Scheduled","CommandAndControl","8/22/2024 6:17:52 AM"
"SAP - Multiple Subnets by User","Medium","Scheduled","CredentialAccess, InitialAccess, Collection","8/22/2024 6:22:36 AM"
"SAP - (Preview) HANA DB - Assign Admin Authorizations","High","Scheduled","PrivilegeEscalation","8/22/2024 6:24:02 AM"
"TI map Domain entity to Dns Events (ASIM DNS Schema)","Medium","Scheduled","CommandAndControl","4/2/2025 12:39:44 PM"
"SAP - Execution of Sensitive Function Module","High","Scheduled","Discovery, CommandAndControl","8/22/2024 6:33:30 AM"
"PaloAlto - Inbound connection to high risk ports","Medium","Scheduled","InitialAccess","8/22/2024 6:35:20 AM"
"Admin promotion after Role Management Application Permission Grant","High","Scheduled","PrivilegeEscalation, Persistence","8/22/2024 6:36:01 AM"
"S3 bucket suspicious ransomware activity","High","Scheduled","Impact","8/22/2024 6:38:28 AM"
"VMware ESXi - Unexpected disk image","Medium","Scheduled","Impact","8/22/2024 6:40:24 AM"
"Suspicious malware found in the network (Microsoft Defender for IoT)","High","Scheduled","Impact","8/22/2024 6:41:19 AM"
"ApexOne - Device access permissions was changed","Medium","Scheduled","PrivilegeEscalation","8/22/2024 6:42:09 AM"
"PLC Stop Command (Microsoft Defender for IoT)","Medium","Scheduled","DefenseEvasion","8/22/2024 6:43:23 AM"
"SAP - FTP for non authorized servers","Medium","Scheduled","Discovery, InitialAccess, CommandAndControl","8/22/2024 6:44:47 AM"
"TI map Email entity to PaloAlto CommonSecurityLog","Medium","Scheduled","InitialAccess","8/22/2024 6:48:37 AM"
"DNS events related to mining pools","Low","Scheduled","Impact","8/22/2024 6:52:25 AM"
"Cisco WSA - Multiple attempts to download unwanted file","Medium","Scheduled","InitialAccess","8/22/2024 6:54:16 AM"
"Potential Ransomware activity related to Cobalt Strike","High","Scheduled","Execution, Persistence, DefenseEvasion, Impact","8/22/2024 6:56:25 AM"
"SAP - Multiple Spool Output Executions","Medium","Scheduled","CredentialAccess, Collection, Exfiltration","8/22/2024 6:57:16 AM"
"Rare and potentially high-risk Office operations","Low","Scheduled","Persistence, Collection","8/22/2024 6:58:21 AM"
"Exchange OAB Virtual Directory Attribute Containing Potential Webshell","High","Scheduled","InitialAccess","8/22/2024 7:00:29 AM"
"PaloAlto - Forbidden countries","Medium","Scheduled","InitialAccess","8/22/2024 7:01:20 AM"
"PaloAlto - User privileges was changed","Medium","Scheduled","InitialAccess","8/22/2024 7:05:20 AM"
"Jira - Permission scheme updated","Medium","Scheduled","Impact","8/22/2024 7:06:04 AM"
"Chia_Crypto_Mining IOC - June 2021","Low","Scheduled","Impact","8/22/2024 7:06:52 AM"
"Qakbot Campaign Self Deletion","Medium","Scheduled","DefenseEvasion","8/22/2024 7:07:41 AM"
"TI map Domain entity to EmailEvents","Medium","Scheduled","InitialAccess","8/22/2024 7:08:25 AM"
"VMware ESXi - Root login","High","Scheduled","InitialAccess, PrivilegeEscalation","8/22/2024 7:09:39 AM"
"Awake Security - Model With Multiple Destinations","Medium","Scheduled","","8/22/2024 7:10:49 AM"
"NRT Process executed from binary hidden in Base64 encoded file","Medium","NRT","Execution, DefenseEvasion","8/22/2024 7:11:43 AM"
"ApexOne - Attack Discovery Detection","High","Scheduled","InitialAccess","8/22/2024 7:13:17 AM"
"CiscoISE - Log collector was suspended","Medium","Scheduled","DefenseEvasion","8/22/2024 7:14:06 AM"
"RDS instance publicly exposed","Medium","Scheduled","Exfiltration","8/22/2024 7:20:47 AM"
"Power Apps - App activity from unauthorized geo","Low","Scheduled","InitialAccess","8/22/2024 7:28:45 AM"
"Office365 Sharepoint File transfer above threshold","Medium","Scheduled","Exfiltration","4/19/2025 7:04:25 AM"
"SAP - (Preview) File Downloaded From a Malicious IP Address","High","Scheduled","Exfiltration","8/22/2024 7:49:13 AM"
"C2-NamedPipe","High","Scheduled","CommandAndControl","8/22/2024 7:53:03 AM"
"Cisco WSA - Suspected protocol abuse","Medium","Scheduled","Exfiltration","8/22/2024 7:59:50 AM"
"Claroty - Policy violation","High","Scheduled","Discovery","8/22/2024 8:04:36 AM"
"PLC unsecure key state (Microsoft Defender for IoT)","Low","Scheduled","Execution","8/22/2024 8:06:26 AM"
"Threat Essentials - Mass Cloud resource deletions Time Series Anomaly","Medium","Scheduled","Impact","4/18/2025 1:18:48 PM"
"PulseConnectSecure - Large Number of Distinct Failed User Logins","Medium","Scheduled","CredentialAccess","8/22/2024 8:08:59 AM"
"GuardDuty detector disabled or suspended","High","Scheduled","DefenseEvasion","8/22/2024 8:10:23 AM"
"Possible AiTM Phishing Attempt Against Microsoft Entra ID","Medium","Scheduled","InitialAccess, DefenseEvasion, CredentialAccess","4/18/2025 1:17:47 PM"
"TI map Domain entity to SecurityAlert","Medium","Scheduled","CommandAndControl","8/22/2024 8:12:24 AM"
"TI Map URL Entity to PaloAlto Data","Medium","Scheduled","CommandAndControl","8/22/2024 8:16:07 AM"
"TI Map URL Entity to PaloAlto Data","Medium","Scheduled","CommandAndControl","8/22/2024 8:17:35 AM"
"SAP - Sensitive User's Password Change and Log in","High","Scheduled","Impact, CommandAndControl, PrivilegeEscalation","8/22/2024 8:18:53 AM"
"TI Map URL Entity to AuditLogs","Medium","Scheduled","CommandAndControl","4/2/2025 12:46:22 PM"
"Caramel Tsunami Actor IOC - July 2021","High","Scheduled","Persistence","8/22/2024 8:25:15 AM"
"VMware ESXi - New VM started","Medium","Scheduled","InitialAccess","8/22/2024 8:28:20 AM"
"TI map File Hash to Security Event","Medium","Scheduled","CommandAndControl","8/22/2024 8:28:50 AM"
"SAP - New ICF Service Handlers","High","Scheduled","Persistence, LateralMovement, CommandAndControl","8/22/2024 8:29:55 AM"
"Dataverse - Mass export of records to Excel","Low","Scheduled","Exfiltration","8/22/2024 8:30:46 AM"
"VMware ESXi - Root impersonation","Medium","Scheduled","PrivilegeEscalation","8/22/2024 8:36:06 AM"
"User Accessed Suspicious URL Categories","Medium","Scheduled","InitialAccess, CommandAndControl","4/2/2025 12:47:14 PM"
"Ping Federate - Unusual mail domain.","Medium","Scheduled","InitialAccess","8/22/2024 8:41:30 AM"
"Privilege escalation via CloudFormation policy","Medium","Scheduled","PrivilegeEscalation","8/22/2024 8:42:41 AM"
"McAfee ePO - Task error","Medium","Scheduled","DefenseEvasion","8/22/2024 8:43:18 AM"
"SAP - Sensitive Privileged User Logged in","High","Scheduled","InitialAccess, CredentialAccess","8/22/2024 8:44:58 AM"
"McAfee ePO - Update failed","Medium","Scheduled","DefenseEvasion","8/22/2024 9:04:34 AM"
"Jira - User's password changed multiple times","High","Scheduled","Persistence","8/22/2024 9:05:42 AM"
"Exchange AuditLog Disabled","Medium","Scheduled","DefenseEvasion","8/22/2024 9:06:36 AM"
"Unauthorized PLC changes (Microsoft Defender for IoT)","Medium","Scheduled","Persistence","8/22/2024 9:09:29 AM"
"Creation of Lambda policy and then privilege escalation","Medium","Scheduled","PrivilegeEscalation","8/22/2024 9:14:15 AM"
"Multiple Sources Affected by the Same TI Destination","Medium","Scheduled","Exfiltration, CommandAndControl","8/22/2024 9:16:00 AM"
"TI map Domain entity to EmailUrlInfo","Medium","Scheduled","InitialAccess","4/2/2025 12:48:08 PM"
"VMware ESXi - Multiple VMs stopped","Medium","Scheduled","Impact","8/22/2024 9:22:42 AM"
"Port Sweep","Medium","Scheduled","Discovery","8/22/2024 9:23:41 AM"
"GreyNoise TI Map IP Entity to DnsEvents","Medium","Scheduled","Impact","8/22/2024 9:25:45 AM"
"Power Apps - Data destruction following publishing of a new app","Medium","Scheduled","Impact","8/22/2024 9:26:36 AM"
"Claroty - Suspicious activity","High","Scheduled","Discovery","8/22/2024 9:27:21 AM"
"TI Map IP Entity to Azure SQL Security Audit Events","Medium","Scheduled","CommandAndControl","8/22/2024 9:28:11 AM"
"Creation of SSM policy and then privilege escalation","Medium","Scheduled","PrivilegeEscalation","8/22/2024 9:28:47 AM"
"Privilege escalation via CRUD KMS policy","Medium","Scheduled","PrivilegeEscalation","8/22/2024 9:33:31 AM"
"Possible Forest Blizzard attempted credential harvesting - Sept 2020","Low","Scheduled","CredentialAccess","8/22/2024 9:34:04 AM"
"Claroty - Multiple failed logins by user","High","Scheduled","InitialAccess","8/22/2024 9:36:08 AM"
